disease.id	disease.efo_info.label	target.id	association_score.overall	association_score.datatypes.genetic_association	association_score.datatypes.somatic_mutation	association_score.datatypes.known_drug	association_score.datatypes.affected_pathway	association_score.datatypes.rna_expression	association_score.datatypes.literature	association_score.datatypes.animal_model	known_drug_binary
EFO_0000270	asthma	ENSG00000169194	1.0	0.36507217504697353	0.0	1.0	0.0	0.0	0.30203490430082114	0.0	1
EFO_0000270	asthma	ENSG00000172057	1.0	1.0	0.0	0.0	0.0	0.0	0.2560576436653813	0.0	0
EFO_0000270	asthma	ENSG00000113448	1.0	0.33324014251687084	0.0	1.0	0.0	0.0	0.08581909081641362	0.0	1
EFO_0000270	asthma	ENSG00000163485	1.0	0.3466666666666667	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000168229	1.0	1.0	0.0	0.225	0.0	0.0	0.12270616874262025	0.0	1
EFO_0000270	asthma	ENSG00000149451	1.0	1.0	0.0	0.0	0.0	0.0	0.26110470897230525	0.0	0
EFO_0000270	asthma	ENSG00000113525	1.0	0.0	0.0	1.0	0.0	0.0	0.2536496719221406	0.0	1
EFO_0000270	asthma	ENSG00000133048	1.0	1.0	0.0	0.0	0.0	0.019470183815826773	0.22516101286884344	0.0	0
EFO_0000270	asthma	ENSG00000113580	1.0	0.0	0.0	1.0	0.0	0.0	0.22357675574714783	0.0	1
EFO_0000270	asthma	ENSG00000073756	1.0	0.0	0.0	1.0	0.0	0.16829999999999998	0.11033562359645749	0.0	1
EFO_0000270	asthma	ENSG00000187258	1.0	1.0	0.0	0.0	0.0	0.0	0.21465735727648325	0.0	0
EFO_0000270	asthma	ENSG00000169252	1.0	0.0	0.0	1.0	0.0	0.03820774149877755	0.19742055884365678	0.0	1
EFO_0000270	asthma	ENSG00000012779	1.0	0.0	0.0	1.0	0.0	0.0	0.14968048990991845	0.0	1
EFO_0000270	asthma	ENSG00000111424	1.0	0.0	0.0	1.0	0.0	0.0	0.11833691108205475	0.0	1
EFO_0000270	asthma	ENSG00000073605	1.0	0.9790065611629006	0.0	0.0	0.0	0.08404470494494184	0.1671638019932333	0.0	0
EFO_0000270	asthma	ENSG00000146070	1.0	1.0	0.0	0.0	0.0	0.0	0.09581018694533001	0.0	0
EFO_0000270	asthma	ENSG00000095303	1.0	0.0	0.0	1.0	0.0	0.0	0.09127984217011231	0.0	1
EFO_0000270	asthma	ENSG00000173198	1.0	0.0	0.0	1.0	0.0	0.0	0.08659513034602379	0.0	1
EFO_0000270	asthma	ENSG00000091181	1.0	0.0	0.0	1.0	0.0	0.0	0.07681759010309241	0.0	1
EFO_0000270	asthma	ENSG00000171195	1.0	1.0	0.0	0.0	0.0	0.0	0.07680833333333333	0.0	0
EFO_0000270	asthma	ENSG00000090376	1.0	1.0	0.0	0.0	0.0	0.0	0.07424315192743766	0.0	0
EFO_0000270	asthma	ENSG00000175497	1.0	1.0	0.0	0.0	0.0	0.0	0.0713529475031689	0.0	0
EFO_0000270	asthma	ENSG00000196639	1.0	0.0	0.0	1.0	0.0	0.0	0.054255595547935215	0.0	1
EFO_0000270	asthma	ENSG00000168539	1.0	0.0	0.0	1.0	0.0	0.0	0.0509	0.0	1
EFO_0000270	asthma	ENSG00000213047	1.0	1.0	0.0	0.0	0.0	0.0	0.04767532545981356	0.0	0
EFO_0000270	asthma	ENSG00000133019	1.0	0.0	0.0	1.0	0.0	0.0	0.05034444444444444	0.0	1
EFO_0000270	asthma	ENSG00000043591	1.0	0.0	0.0	1.0	0.0	0.0	0.050011552368278665	0.0	1
EFO_0000270	asthma	ENSG00000184588	1.0	0.0	0.0	1.0	0.0	0.0	0.029876000000000003	0.0	1
EFO_0000270	asthma	ENSG00000172572	1.0	0.028909746287586035	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000170214	1.0	0.0	0.0	1.0	0.0	0.0	0.0189	0.0	1
EFO_0000270	asthma	ENSG00000211891	1.0	0.0	0.0	1.0	0.0	0.0	0.018000000000000002	0.0	1
EFO_0000270	asthma	ENSG00000188778	1.0	0.0	0.0	1.0	0.0	0.0	0.015600000000000001	0.0	1
EFO_0000270	asthma	ENSG00000170425	1.0	0.0	0.0	1.0	0.0	0.0	0.014800000000000002	0.0	1
EFO_0000270	asthma	ENSG00000065989	1.0	0.0	0.0	1.0	0.0	0.0	0.014400000000000003	0.0	1
EFO_0000270	asthma	ENSG00000150594	1.0	0.0	0.0	1.0	0.0	0.0	0.014400000000000003	0.0	1
EFO_0000270	asthma	ENSG00000160716	1.0	0.0	0.0	1.0	0.0	0.012169071932719324	0.0	0.0	1
EFO_0000270	asthma	ENSG00000101204	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000186009	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000171873	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000128271	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000120907	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000184160	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000105650	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000274286	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000282608	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000105675	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000152270	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000183134	0.9757497596608752	0.0	0.0	0.9432777351054156	0.0	0.0	0.12988809822183853	0.0	1
EFO_0000270	asthma	ENSG00000113161	0.9283876507936508	0.0	0.0	0.9225408163265306	0.0	0.0	0.023387337868480722	0.0	1
EFO_0000270	asthma	ENSG00000145777	0.9246613026380008	0.8602911032926555	0.0	0.0	0.0	0.0	0.273063498942711	0.0	0
EFO_0000270	asthma	ENSG00000167914	0.8725820443293922	0.8526850111898018	0.0	0.0	0.0	0.0	0.07958813255836182	0.0	0
EFO_0000270	asthma	ENSG00000166949	0.8200767963949622	0.7894916467911065	0.0	0.0	0.0	0.0	0.1402949037401914	0.0	0
EFO_0000270	asthma	ENSG00000077238	0.8182583437976672	0.0	0.0	0.7722222222222223	0.0	0.0	0.18414448630177982	0.0	1
EFO_0000270	asthma	ENSG00000115602	0.7903022177980226	0.7759082514616864	0.0	0.0	0.0	0.0	0.08858227558340177	0.0	0
EFO_0000270	asthma	ENSG00000113721	0.7843555657596373	0.0	0.0	0.7722222222222223	0.0	0.0	0.048533374149659865	0.0	1
EFO_0000270	asthma	ENSG00000157404	0.7838333333333334	0.0	0.0	0.7722222222222223	0.0	0.0	0.046444444444444455	0.0	1
EFO_0000270	asthma	ENSG00000113522	0.7828279231652355	0.7657107822775893	0.0	0.0	0.0	0.0	0.06846856355058527	0.0	0
EFO_0000270	asthma	ENSG00000134853	0.7661833333333333	0.0	0.0	0.75	0.0	0.0	0.06473333333333332	0.0	1
EFO_0000270	asthma	ENSG00000137033	0.7657973018234474	0.7061271859662308	0.0	0.0	0.0	0.0	0.26511632509167377	0.0	0
EFO_0000270	asthma	ENSG00000038532	0.75780004311458	0.75420004311458	0.0	0.0	0.0	0.0	0.014400000000000003	0.0	0
EFO_0000270	asthma	ENSG00000068078	0.75	0.0	0.0	0.75	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000228716	0.7	0.0	0.0	0.7	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000186075	0.6750909058785246	0.65	0.0	0.0	0.0	0.0	0.1003636235140985	0.0	0
EFO_0000270	asthma	ENSG00000134376	0.6613177396689682	0.6591177396689682	0.0	0.0	0.0	0.0	0.0088	0.0	0
EFO_0000270	asthma	ENSG00000174125	0.6605659731012431	0.6486906998988262	0.0	0.0	0.0	0.0	0.047501092809667494	0.0	0
EFO_0000270	asthma	ENSG00000137507	0.656281398200341	0.6510061204225632	0.0	0.0	0.0	0.0	0.021101111111111116	0.0	0
EFO_0000270	asthma	ENSG00000128536	0.6533869226023181	0.631067674779749	0.0	0.0	0.0	0.03745369674447345	0.07263090384828844	0.0	0
EFO_0000270	asthma	ENSG00000234745	0.65	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000115604	0.6375500100312692	0.626365033644603	0.0	0.0	0.0	0.0	0.07046826519326936	0.0	0
EFO_0000270	asthma	ENSG00000180902	0.6369553668545609	0.6369553668545609	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000158859	0.6197112998121059	0.6197112998121059	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000107485	0.6129173403491681	0.5838529318428449	0.0	0.0	0.0	0.0	0.11939766718805694	0.0	0
EFO_0000270	asthma	ENSG00000069667	0.5801057640536669	0.5264107337091216	0.0	0.0	0.0	0.0	0.21478012137818095	0.0	0
EFO_0000270	asthma	ENSG00000169245	0.5691967662395336	0.0	0.0	0.0	0.0	0.5	0.2767870649581346	0.0	0
EFO_0000270	asthma	ENSG00000123411	0.5502887001878942	0.5502887001878942	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000164756	0.5330446331454393	0.5330446331454393	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000179344	0.48911606819475373	0.47670099985546605	0.0	0.0	0.0	0.0	0.049660273357150654	0.0	0
EFO_0000270	asthma	ENSG00000169248	0.4734850401392038	0.0	0.0	0.0	0.0	0.45044999999999996	0.09214016055681531	0.0	0
EFO_0000270	asthma	ENSG00000166888	0.47068477338665654	0.4396172977573709	0.0	0.0	0.0	0.0	0.1382342679038928	0.0	0
EFO_0000270	asthma	ENSG00000112182	0.44514575159938224	0.44004575159938225	0.0	0.0	0.0	0.0	0.0204	0.0	0
EFO_0000270	asthma	ENSG00000205189	0.44114950007226694	0.43664950007226694	0.0	0.0	0.0	0.0	0.018000000000000002	0.0	0
EFO_0000270	asthma	ENSG00000185664	0.43840833333333334	0.43333333333333335	0.0	0.0	0.0	0.0	0.0203	0.0	0
EFO_0000270	asthma	ENSG00000171988	0.430462743831274	0.430462743831274	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000134987	0.4274651498112135	0.4209151498112135	0.0	0.0	0.0	0.0	0.026200000000000008	0.0	0
EFO_0000270	asthma	ENSG00000120160	0.4053531463790632	0.4053531463790632	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000254470	0.4001676003468815	0.3759176003468815	0.0	0.0	0.0	0.097	0.0	0.0	0
EFO_0000270	asthma	ENSG00000161405	0.3970733987040723	0.3856889832393863	0.0	0.0	0.0	0.0	0.04553766185874411	0.0	0
EFO_0000270	asthma	ENSG00000111335	0.39688583294341834	0.34862333294341835	0.0	0.0	0.0	0.19305	0.0	0.0	0
EFO_0000270	asthma	ENSG00000170185	0.38996566681120065	0.38996566681120065	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000138755	0.3876482442870781	0.0	0.0	0.0	0.0	0.37124999999999997	0.06559297714831265	0.0	0
EFO_0000270	asthma	ENSG00000119922	0.38115	0.0	0.0	0.0	0.0	0.38115	0.0	0.0	0
EFO_0000270	asthma	ENSG00000237541	0.38030099985546606	0.37670099985546607	0.0	0.0	0.0	0.0	0.014400000000000003	0.0	0
EFO_0000270	asthma	ENSG00000131507	0.3770742457010816	0.3709742457010816	0.0	0.0	0.0	0.0	0.024400000000000005	0.0	0
EFO_0000270	asthma	ENSG00000182771	0.37225720298132975	0.37225720298132975	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000163564	0.3688926781535661	0.36391073370912164	0.0	0.0	0.0	0.0	0.019927777777777777	0.0	0
EFO_0000270	asthma	ENSG00000232810	0.3681536493212461	0.0	0.0	0.25	0.0	0.26235	0.2695321215434683	0.08410000000000001	1
EFO_0000270	asthma	ENSG00000271503	0.36777629464796907	0.0	0.0	0.0	0.0	0.3465	0.08510517859187647	0.0	0
EFO_0000270	asthma	ENSG00000160712	0.36316958004467265	0.3336220335212275	0.0	0.0	0.0	0.0	0.11819018609378067	0.0	0
EFO_0000270	asthma	ENSG00000131437	0.36213949425655034	0.31637796647877253	0.0	0.0	0.0	0.0	0.18304611111111116	0.0	0
EFO_0000270	asthma	ENSG00000182393	0.36001337062232297	0.0	0.0	0.0	0.0	0.3465	0.054053482489292023	0.0	0
EFO_0000270	asthma	ENSG00000145012	0.35787908493271553	0.3533790849327155	0.0	0.0	0.0	0.0	0.018000000000000002	0.0	0
EFO_0000270	asthma	ENSG00000196890	0.3561960783994297	0.3561960783994297	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000112115	0.3541915130450072	0.0	0.0	0.2	0.0	0.0	0.3041915130450072	0.0	1
EFO_0000270	asthma	ENSG00000100385	0.352094249590577	0.3466666666666667	0.0	0.0	0.0	0.0	0.021710331695641225	0.0	0
EFO_0000270	asthma	ENSG00000135114	0.35145	0.0	0.0	0.0	0.0	0.35145	0.0	0.0	0
EFO_0000270	asthma	ENSG00000183709	0.351	0.0	0.0	0.0	0.0	0.3465	0.018000000000000002	0.0	0
EFO_0000270	asthma	ENSG00000184313	0.34862333294341835	0.34862333294341835	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000198821	0.3466666666666667	0.3466666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000151422	0.34465108473306094	0.34465108473306094	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000117586	0.3422138543857122	0.3009151498112135	0.0	0.0	0.0	0.0	0.16519481829799507	0.0	0
EFO_0000270	asthma	ENSG00000096093	0.33532203352122747	0.3336220335212275	0.0	0.0	0.0	0.0	0.0068000000000000005	0.0	0
EFO_0000270	asthma	ENSG00000182185	0.3336220335212275	0.3336220335212275	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000197110	0.33059999999999995	0.0	0.0	0.0	0.0	0.32669999999999993	0.015600000000000003	0.0	0
EFO_0000270	asthma	ENSG00000148344	0.3274024003757883	0.3205774003757883	0.0	0.0	0.0	0.0	0.0273	0.0	0
EFO_0000270	asthma	ENSG00000132965	0.32704122231995797	0.0	0.0	0.30411566200554296	0.0	0.0	0.09170224125766012	0.0	1
EFO_0000270	asthma	ENSG00000142655	0.3259914122954813	0.3259914122954813	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000282278	0.325	0.325	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000136244	0.3231752386960158	0.0	0.0	0.2	0.0	0.03745662098820513	0.26901339191954854	0.0	1
EFO_0000270	asthma	ENSG00000124493	0.3196585161886806	0.3196585161886806	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000109458	0.3179457515993822	0.3100457515993822	0.0	0.0	0.0	0.0	0.0316	0.0	0
EFO_0000270	asthma	ENSG00000151577	0.3128545167668164	0.2878545167668164	0.0	0.1	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000185745	0.31185	0.0	0.0	0.0	0.0	0.31185	0.0	0.0	0
EFO_0000270	asthma	ENSG00000102524	0.31084566464700975	0.0	0.0	0.0	0.0	0.26730000000000004	0.17418265858803883	0.0	0
EFO_0000270	asthma	ENSG00000151276	0.308694208568201	0.308694208568201	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000104783	0.3085496986961451	0.0	0.0	0.25	0.0	0.0	0.23419879478458053	0.0	1
EFO_0000270	asthma	ENSG00000132170	0.30854432764776696	0.0	0.0	0.2722222222222222	0.0	0.0	0.14528842170217904	0.0	1
EFO_0000270	asthma	ENSG00000134321	0.30715	0.0	0.0	0.0	0.0	0.30195	0.020800000000000003	0.0	0
EFO_0000270	asthma	ENSG00000124256	0.3069	0.0	0.0	0.0	0.0	0.3069	0.0	0.0	0
EFO_0000270	asthma	ENSG00000185338	0.30282276182797035	0.0	0.0	0.0	0.0	0.2475	0.2212910473118814	0.0	0
EFO_0000270	asthma	ENSG00000197375	0.2987748112990053	0.29028870018789416	0.0	0.0	0.0	0.0	0.033944444444444444	0.0	0
EFO_0000270	asthma	ENSG00000119917	0.297	0.0	0.0	0.0	0.0	0.297	0.0	0.0	0
EFO_0000270	asthma	ENSG00000226025	0.297	0.0	0.0	0.0	0.0	0.297	0.0	0.0	0
EFO_0000270	asthma	ENSG00000180871	0.29597347231751003	0.0	0.0	0.2722222222222222	0.0	0.0	0.09500500038115134	0.0	1
EFO_0000270	asthma	ENSG00000172156	0.29285159694266016	0.0	0.0	0.0	0.0	0.0	0.29285159694266016	0.0	0
EFO_0000270	asthma	ENSG00000131203	0.2907151389591407	0.0	0.0	0.0	0.0	0.24255000000000002	0.1926605558365628	0.0	0
EFO_0000270	asthma	ENSG00000105329	0.29028391100793216	0.0	0.0	0.0	0.0	0.0	0.29028391100793216	0.0	0
EFO_0000270	asthma	ENSG00000115738	0.28826666666666667	0.26666666666666666	0.0	0.0	0.0	0.08639999999999999	0.0	0.0	0
EFO_0000270	asthma	ENSG00000133110	0.2879744573332802	0.0	0.0	0.0	0.0	0.0	0.2879744573332802	0.0	0
EFO_0000270	asthma	ENSG00000151617	0.2877313042968417	0.0	0.0	0.2722222222222222	0.0	0.02728623867157529	0.04990911111111111	0.0	1
EFO_0000270	asthma	ENSG00000125347	0.28416242866561314	0.24183029962242697	0.0	0.0	0.0	0.1274	0.09433916138867549	0.0	0
EFO_0000270	asthma	ENSG00000136634	0.28350439483647655	0.0	0.0	0.0	0.0	0.0	0.28350439483647655	0.0	0
EFO_0000270	asthma	ENSG00000163464	0.28346891307720695	0.0	0.0	0.2722222222222222	0.0	0.0	0.04498676341993901	0.0	1
EFO_0000270	asthma	ENSG00000136160	0.28306984568864313	0.0	0.0	0.2722222222222222	0.0	0.0	0.04339049386568372	0.0	1
EFO_0000270	asthma	ENSG00000170458	0.28275782063405985	0.0	0.0	0.0	0.0	0.0	0.28275782063405985	0.0	0
EFO_0000270	asthma	ENSG00000132359	0.28265807896214795	0.28265807896214795	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000072041	0.280300999855466	0.27670099985546603	0.0	0.0	0.0	0.0	0.014400000000000003	0.0	0
EFO_0000270	asthma	ENSG00000107201	0.27895	0.0	0.0	0.0	0.0	0.27225	0.026800000000000004	0.0	0
EFO_0000270	asthma	ENSG00000007171	0.2784783737642328	0.0	0.0	0.0	0.0	0.16972408888889023	0.23604735154201023	0.0	0
EFO_0000270	asthma	ENSG00000175344	0.2784722222222222	0.0	0.0	0.2784722222222222	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000177663	0.27789497842934346	0.0	0.0	0.25	0.0	0.0	0.11157991371737376	0.0	1
EFO_0000270	asthma	ENSG00000147316	0.27729011125564507	0.27729011125564507	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000171044	0.27724406704245497	0.27724406704245497	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000104951	0.27719999999999995	0.0	0.0	0.0	0.0	0.27719999999999995	0.0	0.0	0
EFO_0000270	asthma	ENSG00000134215	0.27581140823070094	0.26671241826604886	0.0	0.0	0.0	0.03639595985860828	0.0	0.0	0
EFO_0000270	asthma	ENSG00000181072	0.2756222222222222	0.0	0.0	0.2611111111111111	0.0	0.0	0.05804444444444445	0.0	1
EFO_0000270	asthma	ENSG00000049130	0.2739370810514394	0.0	0.0	0.0	0.0	0.0	0.2739370810514394	0.0	0
EFO_0000270	asthma	ENSG00000079308	0.27321344581670876	0.26961344581670876	0.0	0.0	0.0	0.0	0.014400000000000003	0.0	0
EFO_0000270	asthma	ENSG00000185532	0.2730446331454392	0.2730446331454392	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000128383	0.27225	0.0	0.0	0.0	0.0	0.27225	0.0	0.0	0
EFO_0000270	asthma	ENSG00000104321	0.2686253071217513	0.18409595817601124	0.0	0.0	0.0	0.0	0.2226013175777485	0.0	0
EFO_0000270	asthma	ENSG00000162654	0.26730000000000004	0.0	0.0	0.0	0.0	0.26730000000000004	0.0	0.0	0
EFO_0000270	asthma	ENSG00000178568	0.26558282459096255	0.26198282459096256	0.0	0.0	0.0	0.0	0.014400000000000003	0.0	0
EFO_0000270	asthma	ENSG00000080644	0.26491111111111115	0.0	0.0	0.2611111111111111	0.0	0.0	0.0152	0.0	1
EFO_0000270	asthma	ENSG00000197536	0.2633084195838978	0.2469553668545608	0.0	0.0	0.0	0.06541221091734793	0.0	0.0	0
EFO_0000270	asthma	ENSG00000164251	0.2629694879488665	0.0	0.0	0.0	0.0	0.0	0.2629694879488665	0.0	0
EFO_0000270	asthma	ENSG00000138646	0.26235	0.0	0.0	0.0	0.0	0.26235	0.0	0.0	0
EFO_0000270	asthma	ENSG00000117971	0.2611111111111111	0.0	0.0	0.2611111111111111	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000089177	0.26	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000166860	0.26	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000115267	0.2597459166666667	0.0	0.0	0.0	0.0	0.2475	0.048983666666666675	0.0	0
EFO_0000270	asthma	ENSG00000174697	0.257979241552667	0.0	0.0	0.0	0.0	0.0	0.257979241552667	0.0	0
EFO_0000270	asthma	ENSG00000142166	0.25677777777777777	0.0	0.0	0.25	0.0	0.0	0.027111111111111114	0.0	1
EFO_0000270	asthma	ENSG00000168062	0.25498750000000003	0.0	0.0	0.0	0.0	0.24255000000000002	0.049749999999999996	0.0	0
EFO_0000270	asthma	ENSG00000102468	0.2549370371885697	0.22329900014453397	0.0	0.1	0.0	0.0	0.0597423333963215	0.0	1
EFO_0000270	asthma	ENSG00000136869	0.25427901696246014	0.0	0.0	0.0	0.0	0.0	0.25427901696246014	0.0	0
EFO_0000270	asthma	ENSG00000154654	0.25329817284381023	0.25329817284381023	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000010030	0.25245	0.0	0.0	0.0	0.0	0.25245	0.0	0.0	0
EFO_0000270	asthma	ENSG00000169429	0.2510693976464527	0.0	0.0	0.0	0.0	0.03261634962372864	0.24291531024052052	0.0	0
EFO_0000270	asthma	ENSG00000089692	0.25055	0.0	0.0	0.0	0.0	0.23759999999999998	0.0518	0.0	0
EFO_0000270	asthma	ENSG00000159110	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	1
EFO_0000270	asthma	ENSG00000177409	0.2475	0.0	0.0	0.0	0.0	0.2475	0.0	0.0	0
EFO_0000270	asthma	ENSG00000187608	0.2475	0.0	0.0	0.0	0.0	0.2475	0.0	0.0	0
EFO_0000270	asthma	ENSG00000146192	0.2475	0.0	0.0	0.0	0.0	0.2475	0.0	0.0	0
EFO_0000270	asthma	ENSG00000198673	0.2469553668545608	0.2469553668545608	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000158258	0.2469553668545608	0.2469553668545608	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000134489	0.24608398786172755	0.0	0.0	0.225	0.0	0.0	0.08433595144691018	0.0	1
EFO_0000270	asthma	ENSG00000134184	0.24601231578365895	0.0	0.0	0.0	0.0	0.0	0.24601231578365895	0.0	0
EFO_0000270	asthma	ENSG00000171608	0.24572699195662762	0.046696	0.0	0.1	0.0	0.0	0.21553854751218318	0.0	1
EFO_0000270	asthma	ENSG00000184557	0.24550905888545205	0.0	0.0	0.0	0.0	0.07989790245841837	0.22553458327084747	0.0	0
EFO_0000270	asthma	ENSG00000175595	0.24417524996386653	0.24417524996386653	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000108691	0.24394017619649405	0.0	0.0	0.0	0.0	0.0159280319840956	0.23995816820047014	0.0	0
EFO_0000270	asthma	ENSG00000183486	0.24255000000000002	0.0	0.0	0.0	0.0	0.24255000000000002	0.0	0.0	0
EFO_0000270	asthma	ENSG00000181381	0.24255000000000002	0.0	0.0	0.0	0.0	0.24255000000000002	0.0	0.0	0
EFO_0000270	asthma	ENSG00000153404	0.24247425010840049	0.24247425010840049	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000114013	0.24113244313760415	0.06597947480588903	0.0	0.2	0.0	0.0	0.13520556152557694	0.0	1
EFO_0000270	asthma	ENSG00000156453	0.2407465070546737	0.0	0.0	0.0	0.0	0.0	0.2407465070546737	0.0	0
EFO_0000270	asthma	ENSG00000137745	0.24019160493827163	0.053880000000000004	0.0	0.0	0.0	0.22275	0.03574444444444444	0.0	0
EFO_0000270	asthma	ENSG00000168702	0.2400253371736694	0.2400253371736694	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000134259	0.2396573610757353	0.0	0.0	0.0	0.0	0.0	0.2396573610757353	0.0	0
EFO_0000270	asthma	ENSG00000164796	0.23932474562881462	0.23932474562881462	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000157827	0.23932474562881462	0.23932474562881462	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000115020	0.23932474562881462	0.23932474562881462	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000138674	0.23932474562881462	0.23932474562881462	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000145781	0.23781073370912162	0.23391073370912163	0.0	0.0	0.0	0.0	0.015600000000000001	0.0	0
EFO_0000270	asthma	ENSG00000178562	0.23510858182526254	0.0	0.0	0.0	0.0	0.0	0.23510858182526254	0.0	0
EFO_0000270	asthma	ENSG00000121594	0.23468972964144896	0.0	0.0	0.2	0.0	0.0	0.13875891856579578	0.0	1
EFO_0000270	asthma	ENSG00000083642	0.23391073370912163	0.23391073370912163	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000197497	0.23391073370912163	0.23391073370912163	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000139083	0.23391073370912163	0.23391073370912163	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000122729	0.23391073370912163	0.23391073370912163	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000127318	0.23390932368919085	0.0	0.0	0.0	0.0	0.0	0.23390932368919085	0.0	0
EFO_0000270	asthma	ENSG00000113520	0.2337841870108177	0.0	0.0	0.0	0.0	0.0	0.2337841870108177	0.0	0
EFO_0000270	asthma	ENSG00000137462	0.23362309274108328	0.0	0.0	0.0	0.0	0.1127	0.20544809274108328	0.0	0
EFO_0000270	asthma	ENSG00000103855	0.23143133956712006	0.0	0.0	0.0	0.0	0.0	0.23143133956712006	0.0	0
